id,question,age,native,time_start,time_taken,sel_words,rating,time,correct_answer,text,num_correct,time_seconds,file_name,N_word,V_word,N_lemma,V_lemma,C,punct,let,N,syl,sent,word_long,word_long_pr,lemma_long,lemma_long_pr,comma_pr,ASL,ASS,ASW,ACW,L,S,TTR_word,TTR_lemma,YulesK_word,YulesK_lemma,YulesI_word,YulesI_lemma,hapax1_pr,hapax2_pr,FRE_GL,SMOG,ARI,DCI,CLI,Func_word_pr,Verb_pr,Noun_pr,Adj_pr,Prop_pr,Autosem_pr,Nouns_pr,NVR,Cconj_pr,Sconj_pr,Adjs_pr,Prtf_pr,Prts_pr,Npro_pr,Pred_pr,Grnd_pr,Infn_pr,Numr_pr,Prcl_pr,Prep_pr,Comp_pr,Pos_ngrams_1_pr,Pos_ngrams_2_pr,Pos_ngrams_3_pr,Pos_ngrams_4_pr,Pos_ngrams_5_pr,Pos_ngrams_6_pr,Pos_ngrams_7_pr,Pos_ngrams_8_pr,Pos_ngrams_9_pr,Pos_ngrams_10_pr,Pos_ngrams_11_pr,Pos_ngrams_12_pr,Dyn_Stat,Zipf_0_pr,Zipf_1_pr,Zipf_2_pr,Zipf_3_pr,Zipf_4_pr,Zipf_5_pr,Zipf_6_pr,Zipf_7_pr,Zipf_8_pr,Word_form,Gen_pr,Ablt_pr,datv,nomn,loct,Adjif_pr,Neut_pr,Inan_pr,P1_pr,P3_pr,Pres_pr,Futr_pr,Past_pr,Impf_pr,Perf_pr,Pssv_prtf_pr,Pssv_prts_pr,Sja_verb_pr,Yavl_pr,Textdeixis_pr,Sokr_pr,Abbr_pr,FZ_pr,Term_pr,Abstr_pr,Deont_pr,Prep_mw_pr,Conj_mw_pr,LVC_pr,Acl_pr,Aclrelcl_pr,Advcl_pr,Advmod_pr,Amod_pr,Appos_pr,Auxpass_pr,Cc_pr,Ccomp_pr,Compound_pr,Conj_pr,Cop_pr,Csubj_pr,Csubjpass_pr,Discourse_pr,Mark_pr,Nsubj_pr,Nsubjpass_pr,Nummod_pr,Orphan_pr,Parataxis_pr,Xcomp_pr,Cohes_1,Cohes_2
1,6943,3,1,2023-09-21 16:09:09,2023-09-21 16:09:28,объект_приватизация,2,0 days 00:00:19,объект_приватизация,"Сведения о 6-м объекте имеет место как в плане приватизации, а также он поставлен на кадастровый учет. Таким образом, у регистратора имеются все необходимые данные на спорные объекты недвижимости. Кроме того, суд принимает доводы заявителя о том, что план приватизации оформлен в установленном порядке с учетом законодательства о приватизации, действующего на дату его составления и является надлежащим документом подтверждающим права организации на спорные объекты недвижимости.",2,19.0,6943,73,56,73,52,477,8,405,1,180,3,21,0.2876712328767123,15,0.2054794520547945,0.0136986301369863,24.333333333333332,60.0,2.4657534246575343,5.684931506849315,568.4931506849315,4.109589041095891,0.7671232876712328,0.7123287671232876,108.83843122537057,127.6036779883655,41.81333333333333,30.382022471910112,0.547945205479452,0.0821917808219178,17.288995433789953,23.441494180577696,16.689883561643832,22.52245205479452,9.49876712328767,0.2328767123287671,0.136986301369863,0.3698630136986301,0.0684931506849315,0.0821917808219178,0.5753424657534246,0.4383561643835616,2.7,0.0273972602739726,0.0273972602739726,0.0,0.0547945205479452,0.0273972602739726,0.0273972602739726,0.0,0.0,0.0,0.0,0.0273972602739726,0.1643835616438356,0.0,0.0273972602739726,0.0410958904109589,0.0,0.0547945205479452,0.0958904109589041,0.0,0.0958904109589041,0.0,0.0,0.0273972602739726,0.0273972602739726,0.0,0.7142857142857143,0.0,0.0,0.0,0.0136986301369863,0.0958904109589041,0.2328767123287671,0.3287671232876712,0.1643835616438356,0.0136986301369863,0.1643835616438356,0.1780821917808219,0.0958904109589041,0.0,0.1095890410958904,0.0684931506849315,0.1232876712328767,0.0,0.3287671232876712,0.0,0.0821917808219178,0.0821917808219178,0.0,0.0547945205479452,0.0821917808219178,0.0547945205479452,0.0,0.0,0.0273972602739726,0.0136986301369863,0.0136986301369863,0.0958904109589041,0.0,0.0,0.7808219178082192,0.1232876712328767,0.0410958904109589,0.0273972602739726,0.0136986301369863,0.0273972602739726,0.6666666666666666,0.0,0.0,0.0,2.6666666666666665,0.0,0.0,0.6666666666666666,0.0,0.0,0.6666666666666666,0.0,0.0,0.0,0.0,0.6666666666666666,1.0,0.6666666666666666,0.0,0.0,0.6666666666666666,0.0,3,5
2,6726,3,1,2023-09-21 16:09:09,2023-09-21 16:10:01,звание_служба,1,0 days 00:00:52,звание_служба,"Согласно пункту 1 статьи 3 Федерального закона от 27 мая 1998 года N 76-ФЗ ""О статусе военнослужащих"" система материального и иных видов обеспечения военнослужащих устанавливается с учетом занимаемых ими воинских должностей, присвоенных воинских званий, общей продолжительности военной службы, в том числе и в льготном исчислении, выполняемых задач, условий и порядка прохождения ими военной службы.",2,52.0,6726,62,49,62,49,399,8,327,10,137,1,12,0.1935483870967742,10,0.16129032258064516,0.016129032258064516,62.0,137.0,2.2096774193548385,5.580645161290323,558.0645161290323,1.6129032258064515,0.7903225806451613,0.7903225806451613,104.05827263267427,104.05827263267427,45.301886792452834,45.301886792452834,0.6451612903225806,0.11290322580645161,33.97129032258064,30.676655057318946,26.637129032258066,27.60987096774194,9.799032258064521,0.16129032258064516,0.06451612903225806,0.3870967741935484,0.14516129032258066,0.04838709677419355,0.6612903225806451,0.532258064516129,6.0,0.03225806451612903,0.0,0.0,0.04838709677419355,0.0,0.03225806451612903,0.0,0.0,0.0,0.0,0.0,0.0967741935483871,0.0,0.0,0.016129032258064516,0.0,0.04838709677419355,0.04838709677419355,0.016129032258064516,0.06451612903225806,0.0,0.0,0.016129032258064516,0.04838709677419355,0.0,0.3333333333333333,0.0,0.0,0.0,0.0,0.04838709677419355,0.2903225806451613,0.24193548387096775,0.11290322580645161,0.0,0.14516129032258066,0.45161290322580644,0.04838709677419355,0.016129032258064516,0.03225806451612903,0.08064516129032258,0.16129032258064516,0.0,0.3548387096774194,0.0,0.04838709677419355,0.04838709677419355,0.0,0.016129032258064516,0.04838709677419355,0.016129032258064516,0.0,0.0,0.016129032258064516,0.0,0.0,0.04838709677419355,0.016129032258064516,0.016129032258064516,0.7741935483870968,0.0967741935483871,0.0,0.016129032258064516,0.03225806451612903,0.016129032258064516,3.0,0.0,0.0,1.0,8.0,1.0,0.0,2.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,4.0,0.0,0.0,0.0,0,0
3,4892,3,1,2023-09-21 16:09:09,2023-09-21 16:10:27,референдум_агитация,2,0 days 00:01:18,референдум_агитация,"Кандидаты, избирательные объединения вправе использовать на оплату организационно-технических мероприятий по сбору подписей избирателей, а также на проведение предвыборной агитации, на осуществление другой деятельности, направленной на достижение определенного результата на выборах, только денежные средства, поступившие в их избирательные фонды в установленном законом порядке (пункт 6 статьи 59 Федерального закона ""Об основных гарантиях избирательных прав и права на участие в референдуме граждан Российской Федерации"").",2,78.0,4892,73,59,73,56,524,11,448,3,189,1,26,0.3561643835616438,21,0.2876712328767123,0.01643835616438356,73.0,189.0,2.589041095890411,6.342465753424658,634.2465753424658,1.36986301369863,0.8082191780821918,0.7671232876712328,131.3567273409645,146.36892475136048,41.44047619047619,33.01052631578948,0.6712328767123288,0.0410958904109589,42.65794520547945,45.131215600291874,34.371294520547956,39.58927397260274,14.0741095890411,0.2054794520547945,0.0547945205479452,0.3835616438356164,0.1506849315068493,0.0136986301369863,0.6301369863013698,0.5342465753424658,7.0,0.0273972602739726,0.0,0.0,0.0410958904109589,0.0,0.0136986301369863,0.0136986301369863,0.0,0.0136986301369863,0.0,0.0136986301369863,0.136986301369863,0.0,0.0,0.0,0.0,0.0958904109589041,0.0410958904109589,0.0136986301369863,0.0410958904109589,0.0,0.0,0.0136986301369863,0.0273972602739726,0.0,0.0,0.0,0.0,0.0,0.0136986301369863,0.0684931506849315,0.3013698630136986,0.2465753424657534,0.1095890410958904,0.0136986301369863,0.2054794520547945,0.3013698630136986,0.0136986301369863,0.0136986301369863,0.1232876712328767,0.0684931506849315,0.1506849315068493,0.0,0.3424657534246575,0.0,0.0136986301369863,0.0136986301369863,0.0,0.0410958904109589,0.0,0.0547945205479452,0.0136986301369863,0.0,0.0,0.0,0.0,0.0410958904109589,0.0,0.0,0.9863013698630136,0.0958904109589041,0.0136986301369863,0.0,0.0136986301369863,0.0,3.0,0.0,0.0,1.0,11.0,0.0,0.0,2.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,2.0,0.0,1.0,1.0,0,0
4,9997,2,1,2023-09-21 20:23:51,2023-09-21 20:24:32,диагноз_госпитализация,3,0 days 00:00:41,диагноз_госпитализация,"На госпитализацию в стационар направляются пациенты с предварительным или установленным ранее диагнозом. Максимальное время ожидания госпитализации составляет не более трех часов с момента определения показаний, Больной должен быть осмотрен врачом в приемном отделении немедленно. В случаях, когда для окончательной постановки диагноза требуются динамическое наблюдение и полный объем неотложных лечебно-диагностических мероприятий, допускается нахождение больного в приемном отделении до 24 часов.",2,41.0,9997,65,55,65,51,496,6,431,2,186,3,27,0.4153846153846154,22,0.3384615384615385,0.009230769230769232,21.666666666666668,62.0,2.8615384615384616,6.769230769230769,676.9230769230769,4.615384615384615,0.8461538461538461,0.7846153846153846,61.538461538461554,89.94082840236686,84.02777777777777,50.01923076923077,0.6307692307692307,0.1076923076923077,19.28025641025641,26.57346131258136,22.80611538461539,28.844230769230776,15.285384615384622,0.2153846153846154,0.1076923076923077,0.35384615384615387,0.16923076923076924,0.0,0.6923076923076923,0.5230769230769231,3.2857142857142856,0.03076923076923077,0.015384615384615385,0.0,0.0,0.015384615384615385,0.0,0.0,0.0,0.015384615384615385,0.0,0.015384615384615385,0.13846153846153847,0.0,0.03076923076923077,0.046153846153846156,0.0,0.046153846153846156,0.046153846153846156,0.03076923076923077,0.07692307692307693,0.0,0.0,0.0,0.0,0.0,1.6666666666666667,0.0,0.0,0.0,0.015384615384615385,0.15384615384615385,0.35384615384615387,0.16923076923076924,0.12307692307692308,0.015384615384615385,0.2153846153846154,0.23076923076923078,0.046153846153846156,0.015384615384615385,0.09230769230769231,0.07692307692307693,0.18461538461538463,0.0,0.3076923076923077,0.0,0.06153846153846154,0.06153846153846154,0.0,0.015384615384615385,0.07692307692307693,0.015384615384615385,0.0,0.0,0.046153846153846156,0.0,0.0,0.03076923076923077,0.03076923076923077,0.0,0.8,0.13846153846153847,0.046153846153846156,0.015384615384615385,0.0,0.0,0.6666666666666666,0.0,0.0,1.0,2.6666666666666665,0.0,0.3333333333333333,0.6666666666666666,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.3333333333333333,1.0,0.6666666666666666,0.6666666666666666,0.0,0.0,0.3333333333333333,3,5
5,7140,2,1,2023-09-21 20:23:51,2023-09-21 20:25:53,расчет_правонарушение,8,0 days 00:02:02,машина_расчет,"По мнению заявителя, данная норма, по смыслу, придаваемому ей правоприменительной практикой, распространяющей требование об обязательном применении контрольно - кассовых машин на случаи осуществления предприятиями денежных расчетов с гражданами, занимающимися предпринимательской деятельностью без образования юридического лица, нарушает конституционные права и свободы, гарантированные статьями 8, 19 (часть 1), 34 (часть 1), 35 и 55 (часть 3) Конституции Российской Федерации.",1,122.0,7140,74,57,74,56,478,18,392,12,167,1,20,0.2702702702702703,17,0.22972972972972974,0.02702702702702703,74.0,167.0,2.2567567567567566,5.702702702702703,570.2702702702703,1.3513513513513513,0.7702702702702703,0.7567567567567568,204.5288531775019,208.18115412710011,25.186046511627907,23.757575757575758,0.6621621621621622,0.04054054054054054,40.36675675675676,39.588841662345146,30.153216216216215,35.120918918918925,10.561891891891896,0.10810810810810811,0.06756756756756757,0.32432432432432434,0.13513513513513514,0.013513513513513514,0.6351351351351351,0.4594594594594595,4.8,0.02702702702702703,0.0,0.0,0.06756756756756757,0.0,0.013513513513513514,0.0,0.0,0.0,0.0,0.0,0.06756756756756757,0.0,0.0,0.0,0.0,0.02702702702702703,0.02702702702702703,0.013513513513513514,0.02702702702702703,0.0,0.0,0.04054054054054054,0.06756756756756757,0.0,0.0,0.0,0.0,0.0,0.0,0.06756756756756757,0.1891891891891892,0.24324324324324326,0.08108108108108109,0.0,0.1891891891891892,0.21621621621621623,0.08108108108108109,0.05405405405405406,0.10810810810810811,0.04054054054054054,0.10810810810810811,0.0,0.28378378378378377,0.0,0.02702702702702703,0.05405405405405406,0.0,0.02702702702702703,0.05405405405405406,0.02702702702702703,0.0,0.0,0.0,0.0,0.013513513513513514,0.02702702702702703,0.0,0.0,0.8513513513513513,0.0945945945945946,0.0,0.02702702702702703,0.0,0.0,4.0,0.0,0.0,0.0,9.0,0.0,0.0,2.0,0.0,1.0,4.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,6.0,0.0,4.0,0.0,0,0
6,8694,2,1,2023-09-21 20:23:51,2023-09-21 20:27:00,ответчик_аренда,7,0 days 00:03:09,ответчик_аренда,"Суд также принял во внимание, что довод Ответчика о приобретении Истцом вагонов исключительно во исполнение договора аренды противоречит иному доводу Ответчика о том, что в действительности Истец не заключал договор аренды по состоянию на май 2017 года, не имел целью сдачу в аренду вагонов, приобретаемых по договору поставки, а намеревался использовать их самостоятельно (том 4, л.д. 53).",2,189.0,8694,67,52,67,47,390,9,316,7,133,1,13,0.19402985074626866,11,0.16417910447761194,0.01791044776119403,67.0,133.0,1.9850746268656716,4.985074626865671,498.5074626865671,1.492537313432836,0.7761194029850746,0.7014925373134329,111.38338159946535,155.93673423925148,41.6,24.544444444444444,0.5223880597014925,0.11940298507462686,34.58462686567164,31.927233255099164,24.192305970149256,29.00144776119403,6.565522388059701,0.208955223880597,0.1044776119402985,0.373134328358209,0.029850746268656716,0.04477611940298507,0.6119402985074627,0.40298507462686567,3.5714285714285716,0.014925373134328358,0.029850746268656716,0.0,0.014925373134328358,0.0,0.014925373134328358,0.0,0.0,0.014925373134328358,0.0,0.05970149253731343,0.1044776119402985,0.0,0.029850746268656716,0.014925373134328358,0.0,0.014925373134328358,0.13432835820895522,0.029850746268656716,0.1044776119402985,0.0,0.0,0.0,0.014925373134328358,0.0,0.3333333333333333,0.0,0.0,0.014925373134328358,0.0,0.08955223880597014,0.29850746268656714,0.1791044776119403,0.16417910447761194,0.0,0.08955223880597014,0.13432835820895522,0.029850746268656716,0.05970149253731343,0.05970149253731343,0.05970149253731343,0.04477611940298507,0.0,0.31343283582089554,0.0,0.029850746268656716,0.029850746268656716,0.0,0.05970149253731343,0.07462686567164178,0.029850746268656716,0.0,0.0,0.014925373134328358,0.0,0.0,0.05970149253731343,0.029850746268656716,0.0,0.7014925373134329,0.07462686567164178,0.0,0.0,0.014925373134328358,0.014925373134328358,2.0,0.0,0.0,5.0,1.0,0.0,0.0,1.0,1.0,0.0,3.0,0.0,0.0,0.0,0.0,2.0,4.0,0.0,3.0,0.0,1.0,1.0,0,0
7,5831,2,1,2023-09-22 02:35:58,2023-09-22 02:37:31,расход_мкртчян,5,0 days 00:01:33,расход_мкртчян,"Как следует из представленных материалов, определением суда общей юрисдикции, оставленным без изменения судами вышестоящих инстанций, было частично удовлетворено заявление В.М. Мкртчяна о взыскании судебных расходов. При этом суд, отказывая в удовлетворении требования В.М. Мкртчяна о взыскании расходов на оплату стоимости проезда представителя к месту рассмотрения дела, исходил из того, что заявителем не представлено доказательств, свидетельствующих о необходимости несения указанных расходов в заявленном размере.",2,93.0,5831,74,57,74,54,517,9,443,0,187,2,25,0.33783783783783783,20,0.2702702702702703,0.01891891891891892,37.0,93.5,2.527027027027027,6.162162162162162,616.2162162162163,2.7027027027027026,0.7702702702702703,0.7297297297297297,124.1782322863404,138.7874360847334,38.22352941176471,30.375,0.5675675675675675,0.10810810810810811,24.137027027027035,31.30819892444221,23.073905405405412,28.74964864864865,12.615945945945953,0.20270270270270271,0.13513513513513514,0.4594594594594595,0.05405405405405406,0.02702702702702703,0.6486486486486487,0.5135135135135135,3.4,0.0,0.02702702702702703,0.0,0.04054054054054054,0.02702702702702703,0.013513513513513514,0.0,0.013513513513513514,0.0,0.0,0.013513513513513514,0.14864864864864866,0.0,0.0,0.0,0.0,0.013513513513513514,0.10810810810810811,0.02702702702702703,0.10810810810810811,0.0,0.0,0.02702702702702703,0.013513513513513514,0.0,0.0,0.0,0.0,0.0,0.013513513513513514,0.0945945945945946,0.28378378378378377,0.22972972972972974,0.14864864864864866,0.013513513513513514,0.24324324324324326,0.32432432432432434,0.05405405405405406,0.013513513513513514,0.04054054054054054,0.08108108108108109,0.08108108108108109,0.0,0.35135135135135137,0.0,0.013513513513513514,0.013513513513513514,0.0,0.0945945945945946,0.04054054054054054,0.08108108108108109,0.0,0.0,0.0,0.0,0.013513513513513514,0.05405405405405406,0.013513513513513514,0.0,0.9324324324324325,0.16216216216216217,0.02702702702702703,0.0,0.0,0.0,1.5,0.0,1.0,1.0,3.0,0.0,0.5,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,1.0,0.5,1.0,0.0,0.0,0.0,0.0,3,3
8,1447,3,1,2023-09-22 15:07:03,2023-09-22 15:07:54,неприменимость_процент,6,0 days 00:00:51,неприменимость_процент,"После того как сначала утряслись вопросы с неприменимостью к thin cap статьи 24 СоИДН с ее запретом на дискриминацию и порядком расчета коэффициента капитализации (дискретно или нарастающим итогом), хитом № 1 стали займы от сестринских компаний. Но в последние год-полтора достойную конкуренцию этим вопросам составляет тема налогообложения сверхнормативных процентов по правилам дивидендов в тех ситуациях, когда стороны договора займа - российские компании, а проценты не перечисляются напрямую в иностранную юрисдикцию.",2,51.0,1447,79,72,79,68,521,9,440,3,184,2,20,0.25316455696202533,14,0.17721518987341772,0.007594936708860759,39.5,92.0,2.329113924050633,5.734177215189874,573.4177215189874,2.5316455696202533,0.9113924050632911,0.8607594936708861,28.841531805800358,41.65999038615605,207.36,124.97297297297297,0.7468354430379747,0.08860759493670886,23.72455696202532,28.008183059705438,21.32405379746836,24.758183544303797,10.321898734177218,0.21518987341772153,0.06329113924050633,0.3670886075949367,0.0759493670886076,0.05063291139240506,0.5822784810126582,0.4430379746835443,5.8,0.05063291139240506,0.02531645569620253,0.0,0.012658227848101266,0.0,0.02531645569620253,0.0,0.0,0.0,0.0,0.012658227848101266,0.12658227848101267,0.0,0.0379746835443038,0.012658227848101266,0.012658227848101266,0.02531645569620253,0.06329113924050633,0.02531645569620253,0.08860759493670886,0.0,0.0,0.012658227848101266,0.0,0.0,1.0,0.0,0.0,0.02531645569620253,0.06329113924050633,0.11392405063291139,0.16455696202531644,0.25316455696202533,0.13924050632911392,0.06329113924050633,0.08860759493670886,0.21518987341772153,0.08860759493670886,0.02531645569620253,0.05063291139240506,0.012658227848101266,0.10126582278481013,0.0,0.35443037974683544,0.0,0.0379746835443038,0.0379746835443038,0.0,0.02531645569620253,0.0379746835443038,0.02531645569620253,0.0,0.0,0.012658227848101266,0.0,0.0,0.05063291139240506,0.02531645569620253,0.0,0.9620253164556962,0.06329113924050633,0.0,0.012658227848101266,0.02531645569620253,0.0,1.0,0.0,0.0,1.5,3.5,0.0,0.0,2.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,1.0,2.5,0.0,1.0,0.0,0.5,0.0,3,4
9,6564,3,1,2023-09-22 15:07:03,2023-09-22 15:08:41,потребитель_должник,7,0 days 00:01:38,должник_потребитель,"Довод в апелляционной жалобе о том, что оспариваемый в части нормативный правовой акт делает невозможным реализацию заявителем права по ограничению и приостановлению предоставления коммунальной услуги должнику, является несостоятельным и не может повлечь отмену решения. Энергоснабжающая организация в соответствии с действующим законодательством вправе согласовать в договоре с потребителем иной приемлемый для сторон гражданского правоотношения способ извещения потребителя-должника, на что было указано в решении судом первой инстанции.",2,98.0,6564,72,62,72,59,538,6,469,0,202,2,29,0.4027777777777778,24,0.3333333333333333,0.008333333333333333,36.0,101.0,2.8055555555555554,6.597222222222222,659.7222222222223,2.7777777777777777,0.8611111111111112,0.8194444444444444,65.58641975308643,77.1604938271605,87.36363636363636,65.67924528301887,0.6944444444444444,0.09722222222222222,25.976666666666663,33.71611055646316,25.834111111111113,32.06133333333334,14.982500000000009,0.2361111111111111,0.1388888888888889,0.375,0.1388888888888889,0.027777777777777776,0.6527777777777778,0.5138888888888888,2.7,0.027777777777777776,0.013888888888888888,0.0,0.027777777777777776,0.013888888888888888,0.0,0.013888888888888888,0.0,0.027777777777777776,0.0,0.013888888888888888,0.1527777777777778,0.0,0.0,0.013888888888888888,0.0,0.027777777777777776,0.09722222222222222,0.027777777777777776,0.06944444444444445,0.0,0.0,0.013888888888888888,0.0,0.0,0.14285714285714285,0.0,0.0,0.0,0.0,0.1527777777777778,0.2638888888888889,0.2361111111111111,0.1388888888888889,0.0,0.25,0.19444444444444445,0.09722222222222222,0.05555555555555555,0.1111111111111111,0.06944444444444445,0.16666666666666666,0.0,0.3194444444444444,0.0,0.041666666666666664,0.08333333333333333,0.0,0.027777777777777776,0.08333333333333333,0.041666666666666664,0.0,0.0,0.013888888888888888,0.013888888888888888,0.0,0.041666666666666664,0.013888888888888888,0.0,1.0555555555555556,0.1388888888888889,0.013888888888888888,0.027777777777777776,0.0,0.0,1.0,0.0,0.0,0.5,5.0,0.5,0.5,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.5,1.5,0.0,0.0,0.0,0.5,1.0,2,4
10,1628,3,1,2023-09-22 15:07:03,2023-09-22 15:09:14,постройка_пайщик,5,0 days 00:02:11,пайщик_постройка,"Я бы - если я был бы судьей первой инстанции и рассматривал бы этого дело по существу на втором круге - все равно отказал в удовлетворении иска, объяснив это тем, что право собственности у пайщика может быть только на законно возведенный объект. А легализация самовольной постройки - это отдельный процесс со специальным составом сторон спора, в этом деле легализовать постройку никак нельзя.",2,131.0,1628,67,57,67,52,391,8,323,0,129,2,9,0.13432835820895522,8,0.11940298507462686,0.008955223880597015,33.5,64.5,1.9253731343283582,4.940298507462686,494.02985074626866,2.985074626865672,0.8507462686567164,0.7761194029850746,57.91935843172199,80.19603475161509,90.25,53.01960784313726,0.5970149253731343,0.13432835820895522,17.33313432835821,18.804919354665326,14.88898880597015,16.56042537313433,5.796865671641793,0.2537313432835821,0.14925373134328357,0.2835820895522388,0.1044776119402985,0.11940298507462686,0.5074626865671642,0.3880597014925373,1.9,0.029850746268656716,0.029850746268656716,0.0,0.014925373134328358,0.0,0.05970149253731343,0.014925373134328358,0.014925373134328358,0.029850746268656716,0.0,0.08955223880597014,0.08955223880597014,0.0,0.0,0.014925373134328358,0.0,0.04477611940298507,0.04477611940298507,0.014925373134328358,0.05970149253731343,0.0,0.0,0.014925373134328358,0.0,0.0,0.3333333333333333,0.0,0.0,0.0,0.014925373134328358,0.07462686567164178,0.22388059701492538,0.2835820895522388,0.22388059701492538,0.014925373134328358,0.13432835820895522,0.14925373134328357,0.04477611940298507,0.014925373134328358,0.08955223880597014,0.07462686567164178,0.07462686567164178,0.0,0.2537313432835821,0.0,0.014925373134328358,0.029850746268656716,0.0,0.05970149253731343,0.05970149253731343,0.05970149253731343,0.0,0.0,0.0,0.0,0.0,0.029850746268656716,0.0,0.0,0.582089552238806,0.05970149253731343,0.04477611940298507,0.0,0.0,0.0,0.5,0.5,0.5,1.5,3.0,0.0,0.0,1.0,0.0,0.0,0.5,1.5,0.5,0.0,0.0,1.0,2.5,0.0,0.0,0.0,0.0,0.0,1,4
